,name,empty_slots,free_bikes,slots,latitude,longitude
0,Cégep Marie-Victorin,9,2,11,45.617499783128075,-73.60601127147675
1,Gare d'autocars de Montréal (Berri / Ontario),0,11,15,45.516926210319546,-73.56425732374191
2,Molson / William-Tremblay,12,2,15,45.54154850456526,-73.56501236557959
3,Ateliers municipaux de St-Laurent (Cavendish / Poirier),4,13,19,45.506175841460966,-73.71118605136871
4,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),9,11,25,45.5129938566323,-73.68249848484993
5,Centre des loisirs (Tassé / Grenet),10,4,15,45.51473429416659,-73.69144901633263
6,Parc Marlborough (Beauzèle / Robichaud),12,1,15,45.52234149817879,-73.72167885303497
7,Champdoré / de Lorimier,0,12,15,45.566869345371856,-73.64101678133011
8,Parc Villeray (Christophe-Colomb / Jarry),10,5,15,45.54813638885782,-73.62434014678001
9,Beurling / Godin,14,5,19,45.44791581215845,-73.58381867408752
10,Kirkfield / de Chambois,11,15,27,45.51293324107222,-73.63389015197754
11,Parc des Rapides (LaSalle / 6e avenue),15,6,23,45.42947143740888,-73.59309915918857
12,Métro Longueuil - Université de Sherbrooke,18,12,35,45.52331869398737,-73.52012693881989
13,St-Charles / Montarville,7,8,15,45.53368199320325,-73.51526074111462
14,Collège Édouard-Montpetit (de Gentilly / de Normandie),13,4,18,45.53722603812578,-73.49506705999374
15,Place Longueuil,1,11,15,45.52841043752244,-73.51716578006744
16,Place du Commerce,30,0,33,45.46714,-73.54259
17,Marché Maisonneuve,17,4,22,45.55321884238814,-73.53978216648102
18,Parc Maisonneuve (Viau / Sherbrooke),21,0,23,45.56493679334249,-73.5555911064148
19,Parc Kent (de Kent / Hudson),27,0,27,45.5057209331225,-73.62945914268494
20,Métro Champ-de-Mars (Viger / Sanguinet),33,0,35,45.51016276368593,-73.55663707494385
21,Rachel / de Brébeuf,24,3,29,45.52689,-73.57264
22,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),8,7,15,45.65140583915357,-73.50041270256041
23,Parc St-Laurent (Salk / Thomas-Chapais),13,4,19,45.6062348,-73.6287838
24,Notre-Dame / St-Gabriel,4,10,15,45.50714391928411,-73.55511903762817
25,Casino de Montréal,21,12,34,45.5063732,-73.52457672
26,La Ronde,2,19,23,45.52156536710626,-73.53533238172531
27,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),17,5,27,45.45750908083069,-73.6394852399826
28,Parc Labelle (LaSalle / Henri-Duhamel),10,8,19,45.47256100297732,-73.56998920440674
29,des Ormeaux / de Grosbois,12,1,15,45.605901731906485,-73.53436946868896
30,Parc Reine-Élizabeth (Penniston / Crawford),3,11,15,45.43914465255811,-73.59173655509949
31,Parc de la Confédération (Fielding / West Hill),7,15,23,45.471881993586074,-73.64002168178558
32,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,6,15,45.5534000891078,-73.66225451231003
33,Centre ÉPIC (St-Zotique / 40e avenue),19,3,23,45.57414703721992,-73.57462137937546
34,Bélanger / des Galeries d'Anjou,10,6,23,45.59722114932571,-73.56279015541077
35,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),20,10,34,45.55984236120471,-73.61544728279114
36,Jardin Botanique (Pie-IX / Sherbrooke),0,24,24,45.554946972033726,-73.55529472231865
37,Rosemont / Viau,19,0,23,45.56833021674857,-73.56666326522826
38,Parc Stoney-Point (St-Joseph / 47e avenue),1,16,19,45.43656827071224,-73.70836973190308
39,Parc LaSalle (10e avenue / Victoria),9,9,19,45.43805550384184,-73.67273926734924
40,Elgar / de l'Île-des-Sœurs,3,10,14,45.45682318753668,-73.546804189682
41,St-Jacques / des Seigneurs,11,11,23,45.489185716082275,-73.57190027832984
42,O'Brien / Poirier,16,5,23,45.52252484113786,-73.69143962860107
43,Thimens / Alexis-Nihon,17,8,27,45.50897852206792,-73.69856357574463
44,Parc Van Horne (de la Peltrie / de Westbury),14,1,15,45.490494421832885,-73.63852232694626
45,Hôpital Sacré-Coeur (Forbes),7,4,13,45.531943590076395,-73.71360540390015
46,Atwater / Greene,4,20,25,45.480495143306044,-73.57782661914825
47,Atwater / Sherbrooke,13,10,23,45.4912258547597,-73.58763009309769
48,Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),21,0,21,45.59398503487043,-73.63767206668854
49,Omer-Lavallée / du Midway,12,5,18,45.5457759528664,-73.56217458844185
50,Parc Noel-Nord (Toupin / Keller),9,8,19,45.51758306374252,-73.72661411762238
51,Parc du Bois-Franc (de l'Équateur / des Andes),3,16,19,45.51317758246596,-73.71306091547012
52,Parc Grovehill (St-Antoine / Ivan-Franko),4,9,15,45.43982382100397,-73.69487822055817
53,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),10,1,11,45.6027276,-73.5579303
54,Aréna Chaumont (Chaumont / des Ormeaux),8,8,19,45.610926628992026,-73.54673445224762
55,Parc Chamberland (Dorais / de l'Église),14,4,19,45.502989,-73.689113
56,Parc Summerlea (53e avenue / St-Joseph),1,12,15,45.43836713933041,-73.71546685695648
57,Parc Kirkland (des Érables / Boyer),7,8,15,45.44606092178209,-73.65079946815968
58,William / Robert-Bourassa,18,2,21,45.49716534003792,-73.55933010578154
59,Quai de la navette fluviale,13,6,19,45.51366626207095,-73.53842496871948
60,St-Antoine / de la Montagne,13,6,19,45.49537171535007,-73.56858909130096
61,Lapierre / Serge,11,2,15,45.43854405099729,-73.62021625041962
62,Parc St-Louis (St-Joseph / 34e avenue),7,18,27,45.432839840726125,-73.69349151849747
63,Victoria / 18e avenue Lachine,5,8,15,45.43579350588776,-73.6801904439926
64,LaSalle / 80e avenue,12,10,23,45.4157471675921,-73.63751649856567
65,LaSalle / 37e avenue,0,21,23,45.41631023854958,-73.61291594803333
66,Métro Jolicoeur (de Sève / Drake),1,16,19,45.45608545783109,-73.58193710446358
67,Duchesneau / de Marseille,26,1,27,45.60962627826218,-73.52273898082785
68,Papineau / Émile-Journault,19,12,35,45.55988367688166,-73.63356828689575
69,LaSalle / Godin,25,2,27,45.44693448484644,-73.57219934463501
70,Parc Delorme (Malouin / Laferté),18,1,19,45.5904902,-73.5902694
71,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),8,5,15,45.57940569041942,-73.60258877277374
72,Parc Beaulac (rue Élizabeth),7,8,15,45.5200557245067,-73.67795147001743
73,Parc St-Laurent (Dutrisac),7,11,19,45.52591381815231,-73.68911147117615
74,CHSLD St-Michel (8e avenue / Jarry),13,2,15,45.5616903,-73.610512
75,Georges-Vanier / Notre-Dame,15,4,19,45.485047979822774,-73.5719633102417
76,Travaux publics LaSalle (Cordner / Léger),13,2,15,45.44527192876118,-73.62448364496231
77,Parc de Dieppe,25,8,35,45.501863463435576,-73.5439610481262
78,Terminus Newman (Airlie / Lafleur),7,11,19,45.425059666150744,-73.64959917962551
79,Parc Highlands (Highlands / LaSalle),6,21,27,45.42612352042827,-73.65741580724716
80,Newman / Senkus,15,3,19,45.44404309237571,-73.61375212669373
81,St-Urbain / René-Lévesque,25,8,33,45.507837541505836,-73.56313616037369
82,de Maisonneuve / Aylmer (est),2,19,21,45.50538591756765,-73.5704317688942
83,Smith / Peel,15,4,19,45.49276061084002,-73.55641052126883
84,de la Commune / King,23,46,71,45.49750375338383,-73.55284452438353
85,de la Commune / Place Jacques-Cartier,53,24,81,45.50761009451047,-73.55183601379395
86,de la Commune / St-Sulpice,27,14,43,45.50424245563397,-73.553469479084
87,Chabanel / du Parc,26,3,30,45.53830765459552,-73.6548838019371
88,Ottawa / William,7,8,15,45.48972725318433,-73.56406286358833
89,de la Commune / Berri,33,16,51,45.51086,-73.54983
90,Berlioz / de l'Île des Soeurs,18,3,23,45.45998577640931,-73.54395568370819
91,Parc Benny (Benny / de Monkland),13,7,23,45.46693565237702,-73.63153114914894
92,Cégep André-Laurendeau (Lapierre),23,6,30,45.43605512104547,-73.60577523708344
93,Métro Henri-Bourassa (Henri-Bourassa / Millen),6,9,16,45.55675103297278,-73.66716161370277
94,Dixie / 54e avenue,4,14,19,45.44338026469991,-73.71789157390594
95,LaSalle / 90e avenue,7,5,15,45.41774583815495,-73.64518761634827
96,Métro de la Concorde (Léo-Lacombe),17,0,19,45.5604898518365,-73.7091851234436
97,Calixa-Lavallée / Rachel,27,2,30,45.527831544563064,-73.5719096660614
98,Parc du Mail (Bois de Coulonges / du Mail),14,1,15,45.59833498124187,-73.54596734046936
99,Marché Jean-Talon (Casgrain / Shamrock),16,1,26,45.53519006163501,-73.61548215150833
100,HEC (Decelles / Jean-Brillant),19,1,25,45.497722829899764,-73.61925333738327
101,Fabrik8 (Waverly / Jean-Talon),15,2,18,45.53330725719417,-73.62082242965698
102,Parc Courbertin (Valéry / Perrier),7,8,19,45.5839877335556,-73.60809333622456
103,Parc Hébert (Colbert / Provencher),7,6,15,45.57237805962001,-73.59370462596415
104,Parc Garibaldi (Liénart / Bélanger),5,9,15,45.586476480180046,-73.570396900177
105,Parc Aimé-Léonard (Gouin / Ste-Gertrude),3,13,17,45.60835820969716,-73.63850623369217
106,Parc Charleroi (Alfred / Louis-Francoeur),6,9,15,45.59953472156509,-73.62360253930092
107,Parc Maurice-Bélanger (Hébert / Denommée),12,2,15,45.5877138098252,-73.63171823322773
108,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),13,1,15,45.583197821913785,-73.62978704273701
109,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),4,6,15,45.51401222645779,-73.56598667800426
110,Parc Jeanne-Mance (du Mont-Royal / du Parc),15,16,33,45.51689731423111,-73.58910799026489
111,Léa-Roback / Sir-Georges-Etienne-Cartier,27,3,34,45.472051276471305,-73.5827162861824
112,Parc Eusèbe-Ménard (Gouin / St-Vital),7,7,18,45.59253950875074,-73.64874824881554
113,St-Hubert / de Maisonneuve (sud),2,11,19,45.51586835126322,-73.56008380651474
114,CHSLD Joseph-François-Perrault (St-Michel / Everett),17,1,18,45.55969734528566,-73.60145956277847
115,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),14,12,27,45.50682415585665,-73.68184804916382
116,Parc Plage,14,5,19,45.50265866521738,-73.52753520011902
117,Gare Montpellier (Muir / de la Côte-Vertu),3,11,15,45.52374047147138,-73.67169924080372
118,Gare du Ruisseau (Dutrisac / Henri-Bourassa),8,10,19,45.52814371649508,-73.69254536926746
119,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),4,12,18,45.512843286755896,-73.67612421512604
120,CHSLD Robert Cliche (de Bellechasse / 16e avenue),12,0,15,45.557568,-73.579191
121,Parc Ottawa (de Belleville / Fleury),10,3,15,45.58116,-73.6412434
122,Parc Nicolas-Tillemont (des Érables / Villeray),1,14,18,45.55463653358596,-73.61255215771962
123,Métro Viau (Viau / Pierre-de-Coubertin),27,25,55,45.563084167155345,-73.5481941328544
124,Parc Armand-Bombardier (Perras / Armand-Bombardier),6,8,15,45.6391233,-73.5961118
125,Collège de Rosemont (Beaubien / 15e avenue),23,0,26,45.55774990838239,-73.58380123972893
126,McTavish / Sherbrooke,45,0,46,45.50277615861811,-73.57589408755302
127,de Bleury / de Maisonneuve,10,11,21,45.507096455662456,-73.56844156980515
128,de Maisonneuve / Aylmer (ouest),25,11,37,45.505173440423306,-73.5706517100334
129,Préfontaine / Marcel-Pépin,12,5,19,45.54365380040509,-73.55942063033581
130,Métro Atwater (Atwater / Ste-Catherine),4,28,35,45.48952522221574,-73.5844581949641
131,Hochelaga / de l'Assomption,23,0,23,45.566883091095185,-73.53943817317486
132,Bassin olympique (Chemin du Chenal le Moyne),12,7,19,45.5169025120042,-73.52724552154541
133,Parc Wilfrid-Bastien (Lacordaire / des Galets),14,0,19,45.5864002,-73.5952181
134,de Chambly / de Rouen,5,5,11,45.54710313981358,-73.54892447590828
135,BAnQ (Berri),4,10,15,45.51601387670667,-73.56291957199574
136,Parc Ernest-Rouleau (Gouin),1,14,19,45.63131269772338,-73.61631497740746
137,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),22,0,26,45.49624140543275,-73.62983867526054
138,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),34,0,37,45.50398168549117,-73.62283945083618
139,Parc Honoré-Mercier (Notre-Dame / Liébert),15,10,27,45.59275253568305,-73.51035632193089
140,Keller / Cousineau,13,1,15,45.52355020292929,-73.7138856947422
141,Parc d'Antioche (Place d'Antioche / St-Zotique),4,13,19,45.59566584124368,-73.5596626996994
142,Gare Lachine (Sir George Simpson / 48e avenue),15,0,15,45.447821314280105,-73.71091783046722
143,de Gaspé / Marmier,14,4,21,45.529668174024685,-73.60166944563389
144,Grenet / Poirier,7,4,15,45.51871924623225,-73.69875401258469
145,IUSMM (Georges-Villeneuve),13,9,27,45.58661042838809,-73.52969169616699
146,Square Nelligan (des Appalaches / Alexis-Nihon),1,13,15,45.51431824920811,-73.70799824595451
147,Parc MacDonald (Clanranald / Isabella),1,12,15,45.48274245886277,-73.63497912883759
148,La Tour de Montréal (Pierre-de-Coubertin / Bennett),15,9,25,45.55970526805903,-73.55155438184738
149,St-Antoine / 19e avenue,10,5,15,45.43993803436114,-73.68146234754022
150,Messier / St-Joseph,10,5,17,45.53946063965585,-73.57605636119843
151,Square Viger (Berri / Viger),8,21,30,45.5121682576952,-73.55481594800949
152,Dorion / Ontario,18,15,35,45.526991277453526,-73.55821162462234
153,Larivière / de Lorimier,18,17,39,45.5291345371163,-73.55923354625702
154,Viger / Chenneville,20,14,34,45.50531166520915,-73.56089115142822
155,René-Lévesque / Papineau,25,0,27,45.52097057660443,-73.5499919950962
156,Logan / Fullum,16,3,19,45.52836601591233,-73.55117082595825
157,Joseph-Manseau / René-Lévesque,12,7,19,45.491686521008035,-73.57676714658737
158,Logan / d'Iberville,4,13,19,45.53061161207863,-73.54911457747221
159,du Havre / de Rouen,18,8,27,45.53456256501449,-73.55478646466509
160,Square Victoria (Viger / du Square-Victoria),8,11,19,45.50206,-73.56295
161,Métro Peel (de Maisonneuve / Stanley),36,11,49,45.50038,-73.57507
162,St-Antoine / St-François-Xavier,11,6,18,45.50459069556304,-73.55918794870377
163,Métro Place-d'Armes (Viger / St-Urbain),6,23,29,45.50631445605528,-73.55967122894072
164,Métro Laurier (Berri / Laurier),19,0,23,45.52809995527671,-73.58843871625139
165,St-Hubert / de Maisonneuve (nord),19,4,23,45.51613214980722,-73.56049686670303
166,de Rouen / Lespérance,16,5,23,45.538859462962286,-73.5528177022934
167,Calixa-Lavallée / Sherbrooke,12,4,19,45.52479,-73.56545
168,St-Hubert / Duluth,11,11,23,45.522425652788634,-73.57418417930603
169,de Bullion / du Mont-Royal,16,2,19,45.52141314643908,-73.58498811721802
170,de Lanaudière / Laurier,11,11,23,45.5333136054992,-73.58373686671257
171,Laval / Duluth,11,8,23,45.51922631024093,-73.57718793155072
172,Vallières / St-Laurent,4,17,23,45.518967223320054,-73.5836161673069
173,Duluth / de l'Esplanade,13,8,23,45.515132275425785,-73.58105599880219
174,Hogan / Ontario,4,6,11,45.535295480380306,-73.55116009712219
175,la Fontaine / Alexandre-de-Sève,17,1,19,45.52330366033427,-73.55799973011017
176,Ste-Catherine / Union,23,11,34,45.50373771539475,-73.56948494911194
177,Chabot / Mont-Royal,16,4,23,45.53413436610844,-73.57352435588837
178,Gauthier / Papineau,17,4,23,45.52966629503036,-73.56733649969101
179,Messier / du Mont-Royal,16,2,23,45.53711414,-73.5710031
180,Laval / du Mont-Royal,2,12,15,45.5223645775784,-73.58414590358734
181,Jeanne-Mance / Sherbrooke,3,20,25,45.50928678961862,-73.57101917266846
182,Métro Laurier (Berri / St-Joseph),9,9,18,45.52723106564012,-73.58672618865965
183,Pontiac / Gilford,11,12,23,45.527009334270645,-73.58576595783234
184,Christophe-Colomb / St-Joseph,17,3,23,45.53036486555959,-73.58439266681671
185,Cartier / St-Joseph,19,0,19,45.53582823686429,-73.57869029045105
186,Métro Frontenac (Ontario / du Havre),0,22,23,45.533705987798946,-73.55217933654784
187,Roy / St-Denis,18,5,26,45.51908,-73.5727
188,Maguire / Henri-Julien,12,7,19,45.527041096087785,-73.59347056655677
189,Laurier / de Brébeuf,12,17,31,45.532513956311426,-73.58481109142303
190,Laurier / de Bordeaux,19,2,23,45.53727946481992,-73.5791677236557
191,Henri-Julien / du Carmel,17,6,23,45.52795093787009,-73.59502326697111
192,Cartier / Masson,12,4,19,45.5380207402854,-73.58352363109587
193,Parc Ludger-Duvernay (St-André / St-Hubert),15,2,19,45.53147464147482,-73.59242051839828
194,Boucher / St-Denis,18,4,23,45.527930077456865,-73.59183847904205
195,Drolet / Marie-Anne,6,13,19,45.522402573414084,-73.58117669820786
196,St-André / Rachel,6,8,15,45.52435318759273,-73.57596650719643
197,Parc Jeanne-Mance (monument à sir George-Étienne Cartier),31,7,43,45.514866433022796,-73.58475860237377
198,Roy / St-André,18,4,23,45.521564270906616,-73.57036739587784
199,Garnier / St-Joseph,17,1,19,45.5330129192707,-73.58128666877745
200,de l'Esplanade / Fairmount,17,1,19,45.521495731487576,-73.5968267172575
201,Jeanne-Mance / St-Viateur,19,2,23,45.523026476635074,-73.60184043645859
202,du Parc-La Fontaine / Duluth,14,8,22,45.52451761488783,-73.57197672128677
203,Casgrain / St-Viateur,7,14,23,45.52751292628879,-73.59879076480864
204,St-Dominique / Laurier,4,17,23,45.52361490311454,-73.59245739877223
205,de Bullion / St-Joseph,10,13,23,45.52404631813311,-73.59015061847458
206,de Gaspé / Fairmount,9,12,23,45.52557815939422,-73.59285570681095
207,du Parc-La Fontaine / Roy,16,2,19,45.52286653749578,-73.56837719678879
208,de l'Hôtel-de-Ville / Villeneuve,8,12,23,45.52348082760688,-73.58732756238169
209,de Mentana / Gilford,23,0,23,45.52866947969606,-73.58371809124947
210,Henri-Julien / Laurier,22,1,23,45.52574657625029,-73.59033644199371
211,Marquette / Laurier,3,22,27,45.53543,-73.5822
212,Milton / du Parc,16,14,31,45.50936142835129,-73.57386365532875
213,Waverly / St-Viateur,13,6,19,45.5238561444472,-73.60012650489807
214,de Bordeaux / Gilford,12,6,19,45.53611005443118,-73.5762870311737
215,de Bordeaux / Masson,15,2,19,45.53898439552301,-73.5824453830719
216,Labadie / du Parc,13,2,19,45.5198946757576,-73.59682738780975
217,Fullum / Marie-Anne,21,2,23,45.53650541861215,-73.56803923845291
218,Parthenais / du Mont-Royal,13,1,15,45.53640396516409,-73.57141345739365
219,Clark / St-Viateur,9,6,15,45.5251943015533,-73.59935637563467
220,Duluth  / St-Denis,4,10,15,45.52062760607925,-73.57594907283782
221,Clark / Rachel,27,1,31,45.5173538,-73.58212888
222,Resther / du Mont-Royal,6,9,23,45.52562819123256,-73.58177483081818
223,de Mentana / Marie-Anne,11,16,27,45.526026565221414,-73.57785880565643
224,Hutchison / Prince-Arthur,1,29,31,45.50975858607626,-73.57610732316971
225,du Mont-Royal / Clark,24,5,35,45.51941,-73.58685
226,Bernard / Jeanne-Mance,23,0,23,45.52428310031213,-73.6049484461546
227,Jeanne-Mance / Laurier,12,8,23,45.52027633320609,-73.59497621666378
228,Milton / Durocher,5,18,27,45.508140959417744,-73.57492983341217
229,Clark / Prince-Arthur,28,1,31,45.513342512307055,-73.57301607728004
230,Bercy / Rachel,7,3,15,45.53840340979245,-73.56196403503418
231,de l'Esplanade / du Mont-Royal,5,18,23,45.51825290855221,-73.5883381962776
232,Villeneuve / St-Urbain,14,0,19,45.520188,-73.590559
233,de Rouen / Hogan,10,3,15,45.53636263222538,-73.55421245098114
234,de Gaspé / St-Viateur,19,0,19,45.527672646696104,-73.59738260507582
235,Waverly / Van Horne,4,7,11,45.527363,-73.607723
236,Poupart / Ontario,18,1,19,45.531836726498305,-73.55348825454712
237,Querbes / Laurier,9,2,15,45.51748721436461,-73.59788417816162
238,Berri / Cherrier,21,16,39,45.519266156911335,-73.5692971944809
239,Aylmer / Prince-Arthur,12,11,23,45.508566869474386,-73.57769787311554
240,Bloomfied / Elmwood,13,0,15,45.51825588419192,-73.60320568084717
