station_no,name,empty_slots,free_bikes,slots,latitude,longitude,avg_rating,total_review_count,POI,avg_rating_fsq,total_ratings_count_fsq,POI_fsq
0,Cégep Marie-Victorin,9,2,11,45.617499783128075,-73.60601127147675,,,,7.6,11.0,3.0
1,Gare d'autocars de Montréal (Berri / Ontario),0,11,15,45.516926210319546,-73.56425732374191,4.0,67.0,7.0,,,
2,Molson / William-Tremblay,12,2,15,45.54154850456526,-73.56501236557959,4.0,5.0,4.0,6.7,10.0,1.0
3,Ateliers municipaux de St-Laurent (Cavendish / Poirier),4,13,19,45.506175841460966,-73.71118605136871,,,,,,
4,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),9,11,25,45.5129938566323,-73.68249848484993,4.0,1.0,1.0,8.3,51.0,1.0
5,Centre des loisirs (Tassé / Grenet),10,4,15,45.51473429416659,-73.69144901633263,,,,8.733333333333333,836.0,3.0
6,Parc Marlborough (Beauzèle / Robichaud),12,1,15,45.52234149817879,-73.72167885303497,,,,,0.0,3.0
7,Champdoré / de Lorimier,0,12,15,45.566869345371856,-73.64101678133011,5.0,1.0,1.0,9.5,258.0,1.0
8,Parc Villeray (Christophe-Colomb / Jarry),10,5,15,45.54813638885782,-73.62434014678001,,,,,,
9,Beurling / Godin,14,5,19,45.44791581215845,-73.58381867408752,,,,7.533333333333334,31.0,3.0
10,Kirkfield / de Chambois,11,15,27,45.51293324107222,-73.63389015197754,2.0,18.0,1.0,,,
11,Parc des Rapides (LaSalle / 6e avenue),15,6,23,45.42947143740888,-73.59309915918857,4.333333333333333,11.0,3.0,,,
12,Métro Longueuil - Université de Sherbrooke,18,12,35,45.52331869398737,-73.52012693881989,,,,,0.0,1.0
13,St-Charles / Montarville,7,8,15,45.53368199320325,-73.51526074111462,,,,,,
14,Collège Édouard-Montpetit (de Gentilly / de Normandie),13,4,18,45.53722603812578,-73.49506705999374,,,,7.1,21.0,1.0
15,Place Longueuil,1,11,15,45.52841043752244,-73.51716578006744,,,,9.0,51.0,2.0
16,Place du Commerce,30,0,33,45.46714,-73.54259,3.5,3.0,1.0,,,
17,Marché Maisonneuve,17,4,22,45.55321884238814,-73.53978216648102,4.3,104.0,5.0,9.5,258.0,1.0
18,Parc Maisonneuve (Viau / Sherbrooke),21,0,23,45.56493679334249,-73.5555911064148,4.25,379.0,6.0,8.2,49.0,1.0
19,Parc Kent (de Kent / Hudson),27,0,27,45.5057209331225,-73.62945914268494,3.0,20.0,3.0,,,
20,Métro Champ-de-Mars (Viger / Sanguinet),33,0,35,45.51016276368593,-73.55663707494385,4.208333333333333,55.0,12.0,,,
21,Rachel / de Brébeuf,24,3,29,45.52689,-73.57264,4.1,66.0,5.0,,0.0,2.0
22,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),8,7,15,45.65140583915357,-73.50041270256041,,,,,,
23,Parc St-Laurent (Salk / Thomas-Chapais),13,4,19,45.6062348,-73.6287838,,,,,,
24,Notre-Dame / St-Gabriel,4,10,15,45.50714391928411,-73.55511903762817,4.269230769230769,179.0,13.0,8.0,12.0,2.0
25,Casino de Montréal,21,12,34,45.5063732,-73.52457672,4.0,45.0,1.0,,0.0,2.0
26,La Ronde,2,19,23,45.52156536710626,-73.53533238172531,,,,,,
27,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),17,5,27,45.45750908083069,-73.6394852399826,3.5,4.0,1.0,,,
28,Parc Labelle (LaSalle / Henri-Duhamel),10,8,19,45.47256100297732,-73.56998920440674,3.5,6.0,5.0,,,
29,des Ormeaux / de Grosbois,12,1,15,45.605901731906485,-73.53436946868896,,,,,0.0,1.0
30,Parc Reine-Élizabeth (Penniston / Crawford),3,11,15,45.43914465255811,-73.59173655509949,4.5,16.0,3.0,8.0,12.0,2.0
31,Parc de la Confédération (Fielding / West Hill),7,15,23,45.471881993586074,-73.64002168178558,,,,,0.0,1.0
32,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2,6,15,45.5534000891078,-73.66225451231003,5.0,2.0,2.0,,,
33,Centre ÉPIC (St-Zotique / 40e avenue),19,3,23,45.57414703721992,-73.57462137937546,,,,,,
34,Bélanger / des Galeries d'Anjou,10,6,23,45.59722114932571,-73.56279015541077,,,,,0.0,1.0
35,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),20,10,34,45.55984236120471,-73.61544728279114,4.0,1.0,1.0,,,
36,Jardin Botanique (Pie-IX / Sherbrooke),0,24,24,45.554946972033726,-73.55529472231865,4.214285714285714,381.0,7.0,9.3,576.0,1.0
37,Rosemont / Viau,19,0,23,45.56833021674857,-73.56666326522826,4.5,263.0,2.0,8.8,34.0,5.0
38,Parc Stoney-Point (St-Joseph / 47e avenue),1,16,19,45.43656827071224,-73.70836973190308,4.5,2.0,1.0,9.5,774.0,1.0
39,Parc LaSalle (10e avenue / Victoria),9,9,19,45.43805550384184,-73.67273926734924,,,,,0.0,1.0
40,Elgar / de l'Île-des-Sœurs,3,10,14,45.45682318753668,-73.546804189682,4.5,6.0,3.0,,0.0,1.0
41,St-Jacques / des Seigneurs,11,11,23,45.489185716082275,-73.57190027832984,4.3,8.0,5.0,,,
42,O'Brien / Poirier,16,5,23,45.52252484113786,-73.69143962860107,,,,8.0,12.0,3.0
43,Thimens / Alexis-Nihon,17,8,27,45.50897852206792,-73.69856357574463,,,,,0.0,1.0
44,Parc Van Horne (de la Peltrie / de Westbury),14,1,15,45.490494421832885,-73.63852232694626,,,,8.2,49.0,1.0
45,Hôpital Sacré-Coeur (Forbes),7,4,13,45.531943590076395,-73.71360540390015,,,,,0.0,1.0
46,Atwater / Greene,4,20,25,45.48049514330605,-73.57782661914825,4.333333333333333,6.0,6.0,,0.0,1.0
47,Atwater / Sherbrooke,13,10,23,45.4912258547597,-73.58763009309769,4.166666666666667,15.0,6.0,7.8,20.0,2.0
48,Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),21,0,21,45.59398503487043,-73.63767206668854,,,,,,
49,Omer-Lavallée / du Midway,12,5,18,45.5457759528664,-73.56217458844185,4.0,3.0,2.0,,0.0,2.0
50,Parc Noel-Nord (Toupin / Keller),9,8,19,45.51758306374252,-73.72661411762238,,,,,,
51,Parc du Bois-Franc (de l'Équateur / des Andes),3,16,19,45.51317758246596,-73.71306091547012,,,,,,
52,Parc Grovehill (St-Antoine / Ivan-Franko),4,9,15,45.43982382100397,-73.69487822055817,,,,,0.0,1.0
53,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),10,1,11,45.6027276,-73.5579303,,,,,0.0,2.0
54,Aréna Chaumont (Chaumont / des Ormeaux),8,8,19,45.610926628992026,-73.54673445224762,,,,,0.0,1.0
55,Parc Chamberland (Dorais / de l'Église),14,4,19,45.502989,-73.689113,,,,7.9,16.0,1.0
56,Parc Summerlea (53e avenue / St-Joseph),1,12,15,45.43836713933041,-73.71546685695648,4.5,2.0,1.0,,,
57,Parc Kirkland (des Érables / Boyer),7,8,15,45.44606092178209,-73.65079946815968,,,,,,
58,William / Robert-Bourassa,18,2,21,45.49716534003792,-73.55933010578154,4.25,135.0,8.0,7.9,16.0,1.0
59,Quai de la navette fluviale,13,6,19,45.51366626207095,-73.53842496871948,4.5,46.0,2.0,,0.0,3.0
60,St-Antoine / de la Montagne,13,6,19,45.49537171535007,-73.56858909130096,4.25,21.0,6.0,,,
61,Lapierre / Serge,11,2,15,45.43854405099729,-73.62021625041962,,,,,0.0,2.0
62,Parc St-Louis (St-Joseph / 34e avenue),7,18,27,45.432839840726125,-73.69349151849747,,,,,,
63,Victoria / 18e avenue Lachine,5,8,15,45.43579350588776,-73.6801904439926,4.5,13.0,1.0,9.0,51.0,2.0
64,LaSalle / 80e avenue,12,10,23,45.4157471675921,-73.63751649856567,4.5,3.0,1.0,9.3,576.0,1.0
65,LaSalle / 37e avenue,0,21,23,45.41631023854958,-73.61291594803333,,,,,0.0,1.0
66,Métro Jolicoeur (de Sève / Drake),1,16,19,45.45608545783109,-73.58193710446358,4.666666666666667,4.0,3.0,,,
67,Duchesneau / de Marseille,26,1,27,45.60962627826218,-73.52273898082785,,,,7.8,15.0,1.0
68,Papineau / Émile-Journault,19,12,35,45.55988367688166,-73.63356828689575,4.0,1.0,1.0,,0.0,2.0
69,LaSalle / Godin,25,2,27,45.44693448484644,-73.57219934463501,3.8333333333333335,6.0,3.0,,0.0,1.0
70,Parc Delorme (Malouin / Laferté),18,1,19,45.5904902,-73.5902694,,,,,,
71,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),8,5,15,45.57940569041942,-73.60258877277374,,,,,,
72,Parc Beaulac (rue Élizabeth),7,8,15,45.5200557245067,-73.67795147001743,,,,8.25,122.0,3.0
73,Parc St-Laurent (Dutrisac),7,11,19,45.52591381815231,-73.68911147117615,,,,,0.0,3.0
74,CHSLD St-Michel (8e avenue / Jarry),13,2,15,45.5616903,-73.610512,4.0,1.0,1.0,8.7,17.0,3.0
75,Georges-Vanier / Notre-Dame,15,4,19,45.485047979822774,-73.5719633102417,4.25,8.0,6.0,,,
76,Travaux publics LaSalle (Cordner / Léger),13,2,15,45.44527192876118,-73.62448364496231,,,,8.7,103.0,1.0
77,Parc de Dieppe,25,8,35,45.501863463435576,-73.5439610481262,4.5,131.0,5.0,,,
78,Terminus Newman (Airlie / Lafleur),7,11,19,45.425059666150744,-73.64959917962551,,,,,,
79,Parc Highlands (Highlands / LaSalle),6,21,27,45.42612352042827,-73.65741580724716,5.0,1.0,1.0,,0.0,1.0
80,Newman / Senkus,15,3,19,45.44404309237571,-73.61375212669373,4.5,11.0,1.0,8.8,34.0,2.0
81,St-Urbain / René-Lévesque,25,8,33,45.50783754150584,-73.56313616037369,4.125,175.0,12.0,8.8,34.0,2.0
82,de Maisonneuve / Aylmer (est),2,19,21,45.50538591756765,-73.5704317688942,4.0,32.0,9.0,,,
83,Smith / Peel,15,4,19,45.49276061084002,-73.55641052126883,4.166666666666667,135.0,6.0,,,
84,de la Commune / King,23,46,71,45.49750375338383,-73.55284452438353,4.375,138.0,8.0,,0.0,1.0
85,de la Commune / Place Jacques-Cartier,53,24,81,45.50761009451047,-73.55183601379395,4.25,176.0,12.0,,0.0,1.0
86,de la Commune / St-Sulpice,27,14,43,45.50424245563397,-73.553469479084,4.269230769230769,163.0,13.0,,,
87,Chabanel / du Parc,26,3,30,45.53830765459552,-73.6548838019371,,,,5.6,12.0,1.0
88,Ottawa / William,7,8,15,45.48972725318433,-73.56406286358833,4.125,7.0,4.0,8.8,34.0,1.0
89,de la Commune / Berri,33,16,51,45.51086,-73.54983,4.05,49.0,10.0,,,
90,Berlioz / de l'Île des Soeurs,18,3,23,45.45998577640931,-73.54395568370819,4.5,6.0,3.0,9.0,787.0,2.0
91,Parc Benny (Benny / de Monkland),13,7,23,45.46693565237702,-73.63153114914894,3.5,4.0,1.0,,0.0,1.0
92,Cégep André-Laurendeau (Lapierre),23,6,30,45.43605512104547,-73.60577523708344,4.166666666666667,18.0,3.0,,,
93,Métro Henri-Bourassa (Henri-Bourassa / Millen),6,9,16,45.55675103297278,-73.66716161370277,5.0,1.0,1.0,,0.0,1.0
94,Dixie / 54e avenue,4,14,19,45.44338026469991,-73.71789157390594,4.5,2.0,1.0,8.100000000000001,44.0,2.0
95,LaSalle / 90e avenue,7,5,15,45.41774583815495,-73.64518761634827,,,,,,
96,Métro de la Concorde (Léo-Lacombe),17,0,19,45.5604898518365,-73.7091851234436,,,,7.7,29.0,1.0
97,Calixa-Lavallée / Rachel,27,2,30,45.527831544563064,-73.5719096660614,4.125,61.0,4.0,8.8,46.0,1.0
98,Parc du Mail (Bois de Coulonges / du Mail),14,1,15,45.59833498124187,-73.54596734046936,,,,,,
99,Marché Jean-Talon (Casgrain / Shamrock),16,1,26,45.53519006163501,-73.61548215150833,4.1,31.0,5.0,,,
100,HEC (Decelles / Jean-Brillant),19,1,25,45.49772282989976,-73.61925333738327,3.9,116.0,5.0,,0.0,5.0
101,Fabrik8 (Waverly / Jean-Talon),15,2,18,45.53330725719417,-73.62082242965698,4.125,30.0,4.0,,0.0,1.0
102,Parc Courbertin (Valéry / Perrier),7,8,19,45.5839877335556,-73.60809333622456,,,,,,
103,Parc Hébert (Colbert / Provencher),7,6,15,45.57237805962001,-73.59370462596415,,,,,0.0,1.0
104,Parc Garibaldi (Liénart / Bélanger),5,9,15,45.586476480180046,-73.570396900177,,,,8.933333333333334,821.0,4.0
105,Parc Aimé-Léonard (Gouin / Ste-Gertrude),3,13,17,45.60835820969716,-73.63850623369217,,,,,,
106,Parc Charleroi (Alfred / Louis-Francoeur),6,9,15,45.59953472156509,-73.62360253930092,,,,7.9,12.0,1.0
107,Parc Maurice-Bélanger (Hébert / Denommée),12,2,15,45.5877138098252,-73.63171823322773,5.0,1.0,1.0,,,
108,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),13,1,15,45.583197821913785,-73.62978704273701,,,,,,
109,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),4,6,15,45.51401222645779,-73.56598667800426,3.857142857142857,57.0,7.0,9.5,258.0,1.0
110,Parc Jeanne-Mance (du Mont-Royal / du Parc),15,16,33,45.51689731423111,-73.58910799026489,4.166666666666667,30.0,9.0,,0.0,1.0
111,Léa-Roback / Sir-Georges-Etienne-Cartier,27,3,34,45.472051276471305,-73.5827162861824,4.5,27.0,5.0,,,
112,Parc Eusèbe-Ménard (Gouin / St-Vital),7,7,18,45.59253950875074,-73.64874824881554,4.5,10.0,1.0,7.9,51.0,1.0
113,St-Hubert / de Maisonneuve (sud),2,11,19,45.51586835126322,-73.56008380651474,4.0,71.0,9.0,7.6,16.0,1.0
114,CHSLD Joseph-François-Perrault (St-Michel / Everett),17,1,18,45.55969734528566,-73.60145956277847,4.0,1.0,1.0,,,
115,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),14,12,27,45.50682415585665,-73.68184804916382,4.0,1.0,1.0,,,
116,Parc Plage,14,5,19,45.50265866521738,-73.52753520011902,,,,,0.0,1.0
117,Gare Montpellier (Muir / de la Côte-Vertu),3,11,15,45.52374047147138,-73.67169924080372,,,,,,
118,Gare du Ruisseau (Dutrisac / Henri-Bourassa),8,10,19,45.52814371649508,-73.69254536926746,,,,7.6,11.0,2.0
119,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),4,12,18,45.512843286755896,-73.67612421512604,4.0,1.0,1.0,,,
120,CHSLD Robert Cliche (de Bellechasse / 16e avenue),12,0,15,45.557568,-73.579191,4.0,1.0,1.0,9.1,29.0,1.0
121,Parc Ottawa (de Belleville / Fleury),10,3,15,45.58116,-73.6412434,4.75,11.0,2.0,7.1,21.0,1.0
122,Parc Nicolas-Tillemont (des Érables / Villeray),1,14,18,45.55463653358596,-73.61255215771962,4.0,1.0,1.0,,,
123,Métro Viau (Viau / Pierre-de-Coubertin),27,25,55,45.563084167155345,-73.5481941328544,4.2,123.0,5.0,5.6,12.0,1.0
124,Parc Armand-Bombardier (Perras / Armand-Bombardier),6,8,15,45.6391233,-73.5961118,,,,,,
125,Collège de Rosemont (Beaubien / 15e avenue),23,0,26,45.55774990838239,-73.58380123972893,4.25,4.0,2.0,,0.0,2.0
126,McTavish / Sherbrooke,45,0,46,45.50277615861811,-73.57589408755302,4.071428571428571,31.0,7.0,,,
127,de Bleury / de Maisonneuve,10,11,21,45.507096455662456,-73.56844156980515,4.0,48.0,9.0,,,
128,de Maisonneuve / Aylmer (ouest),25,11,37,45.505173440423306,-73.5706517100334,4.0,32.0,9.0,,,
129,Préfontaine / Marcel-Pépin,12,5,19,45.54365380040509,-73.55942063033581,4.0,3.0,2.0,8.0,131.0,1.0
130,Métro Atwater (Atwater / Ste-Catherine),4,28,35,45.48952522221574,-73.5844581949641,4.5,4.0,4.0,8.2,49.0,1.0
131,Hochelaga / de l'Assomption,23,0,23,45.566883091095185,-73.53943817317486,4.5,49.0,2.0,7.4,10.0,1.0
132,Bassin olympique (Chemin du Chenal le Moyne),12,7,19,45.5169025120042,-73.52724552154541,4.0,45.0,1.0,8.7,103.0,1.0
133,Parc Wilfrid-Bastien (Lacordaire / des Galets),14,0,19,45.5864002,-73.5952181,,,,,,
134,de Chambly / de Rouen,5,5,11,45.54710313981358,-73.54892447590828,3.5,54.0,3.0,,,
135,BAnQ (Berri),4,10,15,45.51601387670667,-73.56291957199574,3.875,70.0,8.0,,,
136,Parc Ernest-Rouleau (Gouin),1,14,19,45.63131269772338,-73.61631497740746,,,,9.5,258.0,1.0
137,Hôpital Général Juif (de la Côte-Ste-Catherine / Légaré),22,0,26,45.49624140543275,-73.62983867526054,3.75,113.0,2.0,8.65,92.0,2.0
138,CHU Ste-Justine (de la Côte Ste-Catherine / Hudson),34,0,37,45.50398168549117,-73.62283945083618,2.5,19.0,2.0,,,
139,Parc Honoré-Mercier (Notre-Dame / Liébert),15,10,27,45.59275253568305,-73.51035632193089,,,,,,
140,Keller / Cousineau,13,1,15,45.52355020292929,-73.7138856947422,,,,,,
141,Parc d'Antioche (Place d'Antioche / St-Zotique),4,13,19,45.59566584124368,-73.5596626996994,,,,9.4,101.0,3.0
142,Gare Lachine (Sir George Simpson / 48e avenue),15,0,15,45.447821314280105,-73.71091783046722,,,,,,
143,de Gaspé / Marmier,14,4,21,45.529668174024685,-73.60166944563389,4.071428571428571,12.0,7.0,7.6,16.0,1.0
144,Grenet / Poirier,7,4,15,45.51871924623225,-73.69875401258469,,,,,,
145,IUSMM (Georges-Villeneuve),13,9,27,45.58661042838809,-73.52969169616699,,,,9.5,258.0,1.0
146,Square Nelligan (des Appalaches / Alexis-Nihon),1,13,15,45.51431824920811,-73.70799824595451,,,,,0.0,1.0
147,Parc MacDonald (Clanranald / Isabella),1,12,15,45.48274245886277,-73.63497912883759,,,,,,
148,La Tour de Montréal (Pierre-de-Coubertin / Bennett),15,9,25,45.55970526805903,-73.55155438184738,4.25,379.0,6.0,,0.0,1.0
149,St-Antoine / 19e avenue,10,5,15,45.43993803436114,-73.68146234754022,,,,,,
150,Messier / St-Joseph,10,5,17,45.53946063965585,-73.57605636119843,4.375,22.0,4.0,,0.0,1.0
151,Square Viger (Berri / Viger),8,21,30,45.5121682576952,-73.55481594800949,4.1,51.0,10.0,6.8,9.0,1.0
152,Dorion / Ontario,18,15,35,45.526991277453526,-73.55821162462234,3.5,58.0,3.0,8.8,160.0,1.0
153,Larivière / de Lorimier,18,17,39,45.5291345371163,-73.55923354625702,4.166666666666667,58.0,3.0,9.0,21.0,1.0
154,Viger / Chenneville,20,14,34,45.50531166520915,-73.56089115142822,4.1923076923076925,160.0,13.0,9.1,214.0,1.0
155,René-Lévesque / Papineau,25,0,27,45.52097057660443,-73.5499919950962,3.75,22.0,4.0,,,
156,Logan / Fullum,16,3,19,45.52836601591233,-73.55117082595825,3.0,3.0,2.0,,0.0,1.0
157,Joseph-Manseau / René-Lévesque,12,7,19,45.491686521008035,-73.57676714658737,4.125,18.0,4.0,,,
158,Logan / d'Iberville,4,13,19,45.53061161207863,-73.54911457747221,3.0,1.0,1.0,,,
159,du Havre / de Rouen,18,8,27,45.53456256501449,-73.55478646466509,3.6666666666666665,4.0,3.0,,0.0,2.0
160,Square Victoria (Viger / du Square-Victoria),8,11,19,45.50206,-73.56295,4.090909090909091,156.0,11.0,,,
161,Métro Peel (de Maisonneuve / Stanley),36,11,49,45.50038,-73.57507,4.0,28.0,6.0,,0.0,1.0
162,St-Antoine / St-François-Xavier,11,6,18,45.50459069556304,-73.55918794870377,4.1923076923076925,160.0,13.0,8.8,160.0,1.0
163,Métro Place-d'Armes (Viger / St-Urbain),6,23,29,45.50631445605528,-73.55967122894072,4.1923076923076925,176.0,13.0,,,
164,Métro Laurier (Berri / Laurier),19,0,23,45.52809995527671,-73.58843871625139,4.214285714285714,28.0,7.0,,,
165,St-Hubert / de Maisonneuve (nord),19,4,23,45.51613214980722,-73.56049686670303,4.0,71.0,9.0,,0.0,5.0
166,de Rouen / Lespérance,16,5,23,45.538859462962286,-73.5528177022934,3.5,3.0,2.0,,0.0,1.0
167,Calixa-Lavallée / Sherbrooke,12,4,19,45.52479,-73.56545,3.6,84.0,5.0,,0.0,1.0
168,St-Hubert / Duluth,11,11,23,45.522425652788634,-73.57418417930603,4.333333333333333,104.0,6.0,,0.0,1.0
169,de Bullion / du Mont-Royal,16,2,19,45.52141314643908,-73.58498811721802,4.277777777777778,30.0,9.0,8.5,20.0,1.0
170,de Lanaudière / Laurier,11,11,23,45.5333136054992,-73.58373686671257,4.25,24.0,6.0,8.0,12.0,2.0
171,Laval / Duluth,11,8,23,45.51922631024093,-73.57718793155072,4.428571428571429,105.0,7.0,,0.0,1.0
172,Vallières / St-Laurent,4,17,23,45.518967223320054,-73.5836161673069,4.222222222222222,29.0,9.0,9.0,787.0,2.0
173,Duluth / de l'Esplanade,13,8,23,45.515132275425785,-73.58105599880219,4.1875,52.0,8.0,7.9,51.0,1.0
174,Hogan / Ontario,4,6,11,45.535295480380306,-73.55116009712219,3.0,2.0,2.0,9.0,787.0,2.0
175,la Fontaine / Alexandre-de-Sève,17,1,19,45.52330366033427,-73.55799973011017,3.8,101.0,5.0,8.5,20.0,3.0
176,Ste-Catherine / Union,23,11,34,45.50373771539475,-73.56948494911194,4.0,32.0,9.0,,,
177,Chabot / Mont-Royal,16,4,23,45.53413436610844,-73.57352435588837,4.375,59.0,4.0,9.3,576.0,1.0
178,Gauthier / Papineau,17,4,23,45.52966629503036,-73.56733649969101,4.1,60.0,5.0,,0.0,3.0
179,Messier / du Mont-Royal,16,2,23,45.53711414,-73.5710031,4.333333333333333,4.0,3.0,,,
